



,,,[80],,,[70],,,[60],,,[50],,,[40],,,[30]

,[170],,14,20,,10,16,,9,15,,9,13,,9,11,,3,6

,[171],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[172],,19,28,,14,24,,13,20,,10,15,,9,13,,9,12

,[173],,17,28,,15,25,,12,21,,12,21,,8,17,,7,14

,[174],,22,25,,99,99,,99,99,,99,99,,99,99,,10,11

,[175],,99,99,,16,22,,14,21,,6,17,,6,15,,5,14

,[176],,16,21,,6,15,,4,13,,2,8,,2,8,,1,5

,[177],,21,26,,16,21,,12,17,,10,15,,9,11,,8,8

,[178],,20,27,,12,23,,11,19,,7,14,,7,13,,7,12

,[179],,16,27,,9,21,,5,17,,3,14,,3,11,,2,6

,[180],,20,28,,16,24,,8,18,,7,18,,7,18,,6,14

,[181],,99,99,,19,19,,99,99,,16,16,,12,14,,9,10

,[182],,17,17,,13,14,,11,14,,11,14,,12,13,,7,8

,[183],,17,23,,12,19,,7,15,,7,15,,7,13,,5,10

,[184],,21,29,,11,24,,6,17,,3,15,,3,14,,2,12

,[185],,24,26,,16,17,,14,14,,8,11,,8,10,,4,7

,[186],,21,24,,17,20,,13,17,,9,16,,9,14,,6,11

,[187],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[188],,11,17,,9,14,,9,13,,7,11,,8,11,,6,7

,[189],,99,99,,13,19,,11,17,,10,13,,9,11,,5,5

,[190],,99,99,,14,18,,12,17,,10,14,,9,14,,8,12

,[191],,99,99,,99,99,,14,14,,13,13,,6,10,,6,10

,[192],,22,29,,16,25,,14,23,,9,18,,6,13,,5,13

,[193],,18,26,,14,22,,10,18,,8,16,,7,13,,5,10

,[194],,23,24,,18,19,,14,15,,13,13,,9,10,,9,9

,[195],,23,25,,16,17,,10,12,,8,10,,8,10,,7,9

,[196],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[197],,99,99,,99,99,,12,15,,10,14,,8,11,,4,8

,[198],,19,21,,13,15,,11,13,,10,12,,10,12,,10,11

,[199],,99,99,,11,17,,9,13,,5,9,,1,5,,1,4

,[200],,16,17,,13,13,,8,12,,6,9,,5,7,,4,6

,[201],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[202],,19,25,,17,23,,10,17,,8,11,,8,9,,7,8

,[203],,99,99,,99,99,,10,10,,99,99,,99,99,,99,99

,[204],,99,99,,99,99,,99,99,,99,99,,99,99,,10,10

,[205],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[206],,15,27,,12,20,,10,16,,9,15,,5,12,,4,7

,[207],,21,22,,99,99,,99,99,,99,99,,99,99,,99,99

,[208],,10,20,,8,16,,6,11,,5,11,,4,9,,3,6

,[209],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[210],,24,24,,16,19,,16,17,,14,14,,11,13,,10,12

,[211],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[212],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[213],,19,19,,15,16,,11,12,,10,10,,9,9,,99,99

,[214],,18,19,,14,15,,13,13,,10,12,,6,9,,6,9

,[215],,17,20,,13,17,,9,12,,7,9,,6,6,,3,4

,[216],,19,26,,9,19,,9,19,,8,15,,7,13,,4,8

,[217],,18,25,,11,20,,9,16,,7,12,,8,11,,5,7

,[218],,17,21,,14,19,,8,13,,8,12,,5,8,,5,6

,[219],,17,22,,12,17,,10,13,,10,12,,10,10,,9,9

,[220],,17,18,,13,15,,11,13,,8,10,,7,8,,99,99

,[221],,99,99,,11,18,,8,16,,7,14,,6,11,,3,7

,[222],,99,99,,99,99,,99,99,,99,99,,99,99,,9,9

,[223],,18,25,,11,17,,9,15,,8,14,,8,14,,5,8

,[224],,16,27,,13,23,,9,18,,8,17,,7,15,,4,11

,[225],,99,99,,13,20,,9,17,,9,16,,5,12,,3,9

,[226],,19,23,,17,18,,17,18,,15,15,,12,14,,11,11

,[227],,20,26,,17,22,,8,18,,7,16,,8,13,,3,9

,[228],,21,22,,19,20,,17,17,,14,16,,10,14,,8,12

,[229],,99,99,,21,23,,14,19,,12,18,,7,13,,7,13

,[230],,18,28,,8,22,,6,18,,5,16,,5,13,,4,10

,[231],,19,24,,13,15,,11,12,,10,11,,8,9,,6,6

,[232],,15,23,,9,18,,8,15,,8,13,,6,11,,5,8

,[233],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[234],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[235],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[236],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[237],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[238],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[239],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[240],,99,99,,99,99,,99,99,,99,99,,99,99,,99,99

,[241],,99,99,,18,18,,99,99,,99,99,,99,99,,99,99

