
[401] : 9.109375,  9.406250  (0.296875)
[402] : 10.296875,  8.609375  (-1.687500)
[403] : 7.812500,  7.718750  (-0.093750)
[404] : 73.000000,  74.046875  (1.046875)
[405] : 121.171875,  132.109375  (10.937500)
[406] : 44.265625,  45.609375  (1.343750)
[407] : 169.609375,  170.156250  (0.546875)
[408] : 139.890625,  144.593750  (4.703125)
[409] : 73.093750,  72.750000  (-0.343750)
[410] : 21.218750,  19.515625  (-1.703125)
[411] : 17.890625,  18.062500  (0.171875)
[412] : 9.953125,  9.953125  (0.000000)
[413] : 8.671875,  8.671875  (0.000000)
[414] : 13.343750,  13.343750  (0.000000)
[415] : 17.703125,  17.656250  (-0.046875)
[416] : 133.093750,  187.750000  (54.656250)
[417] : 6.140625,  6.140625  (0.000000)
[418] : 13.593750,  10.187500  (-3.406250)
[419] : 138.671875,  132.343750  (-6.328125)
[420] : 159.921875,  217.031250  (57.109375)
[421] : 318.671875,  314.468750  (-4.203125)
[422] : 230.156250,  230.156250  (0.000000)
[423] : 150.046875,  150.500000  (0.453125)
[424] : 67.093750,  79.937500  (12.843750)
[425] : 125.109375,  186.187500  (61.078125)
[426] : 97.562500,  98.000000  (0.437500)
[427] : 207.828125,  209.000000  (1.171875)
[428] : 202.765625,  204.265625  (1.500000)
[429] : 209.187500,  216.015625  (6.828125)
[430] : 74.328125,  75.437500  (1.109375)
[431] : 145.765625,  145.578125  (-0.187500)
[432] : 175.625000,  175.625000  (0.000000)
[433] : 79.890625,  89.703125  (9.812500)
[434] : 64.062500,  64.312500  (0.250000)
[435] : 79.687500,  105.140625  (25.453125)
[436] : 119.343750,  120.953125  (1.609375)
[437] : 224.125000,  254.031250  (29.906250)
[438] : 232.687500,  841.484375  (608.796875)
[439] : 257.218750,  256.156250  (-1.062500)
[440] : 313.921875,  318.671875  (4.750000)
[441] : 122.093750,  148.828125  (26.734375)
[442] : 21.265625,  21.265625  (0.000000)
[443] : 13.453125,  12.671875  (-0.781250)
[444] : 20.109375,  20.093750  (-0.015625)
[445] : 20.796875,  18.484375  (-2.312500)
[446] : 14.500000,  14.500000  (0.000000)
[447] : 13.062500,  12.343750  (-0.718750)
[448] : 144.046875,  146.421875  (2.375000)
[449] : 85.750000,  83.500000  (-2.250000)
[450] : 178.687500,  175.156250  (-3.531250)
[451] : 116.453125,  116.562500  (0.109375)
[452] : 119.484375,  119.484375  (0.000000)
[453] : 149.859375,  221.359375  (71.500000)
[454] : 15.421875,  15.421875  (0.000000)
[455] : 86.968750,  87.875000  (0.906250)
[456] : 382.890625,  399.000000  (16.109375)
[457] : 448.562500,  1156.562500  (708.000000)
[458] : 81.781250,  80.593750  (-1.187500)
[459] : 15.359375,  15.359375  (0.000000)
[460] : 49.921875,  45.546875  (-4.375000)
[461] : 30.312500,  30.062500  (-0.250000)
[462] : 168.843750,  339.875000  (171.031250)
[463] : 298.421875,  330.968750  (32.546875)
[464] : 257.812500,  303.562500  (45.750000)
[465] : 268.281250,  274.937500  (6.656250)
[466] : 381.609375,  380.968750  (-0.640625)
[467] : 446.593750,  457.281250  (10.687500)
[468] : 323.000000,  321.203125  (-1.796875)
[469] : 107.515625,  101.578125  (-5.937500)
[470] : 183.187500,  184.140625  (0.953125)
[471] : 52.718750,  215.687500  (162.968750)
[472] : 99.953125,  99.953125  (0.000000)
[473] : 146.453125,  146.140625  (-0.312500)
[474] : 155.687500,  157.328125  (1.640625)
[475] : 165.140625,  167.359375  (2.218750)
[476] : 133.703125,  136.406250  (2.703125)
[477] : 46.312500,  46.703125  (0.390625)
[478] : 23.906250,  23.484375  (-0.421875)
[479] : 17.187500,  17.187500  (0.000000)
[480] : 186.468750,  185.359375  (-1.109375)
[481] : 165.890625,  165.968750  (0.078125)
[482] : 74.156250,  73.968750  (-0.187500)
[483] : 222.953125,  224.156250  (1.203125)
[484] : 86.812500,  86.328125  (-0.484375)
[485] : 151.812500,  152.062500  (0.250000)
[486] : 38.218750,  37.859375  (-0.359375)
[487] : 56.515625,  56.031250  (-0.484375)
[488] : 64.609375,  65.015625  (0.406250)
[489] : 77.859375,  236.140625  (158.281250)
[490] : 49.515625,  49.515625  (0.000000)
[491] : 43.937500,  43.937500  (0.000000)
[492] : 51.875000,  52.468750  (0.593750)
[493] : 44.687500,  44.796875  (0.109375)
[494] : 37.671875,  37.718750  (0.046875)
[495] : 53.437500,  53.218750  (-0.218750)
[496] : 56.625000,  56.359375  (-0.265625)
[497] : 76.843750,  76.453125  (-0.390625)
[498] : 49.843750,  65.312500  (15.468750)
[499] : 48.468750,  48.468750  (0.000000)
