[300] : 17.859375,  17.859375  (0.000000)
[301] : 11.125000,  7.656250  (-3.468750)
[302] : 23.031250,  23.031250  (0.000000)
[303] : 8.515625,  8.515625  (0.000000)
[304] : 29.468750,  25.093750  (-4.375000)
[305] : 42.656250,  41.250000  (-1.406250)
[306] : 18.093750,  17.750000  (-0.343750)
[307] : 31.765625,  31.765625  (0.000000)
[308] : 14.078125,  14.187500  (0.109375)
[309] : 18.984375,  11.812500  (-7.171875)
[310] : 21.500000,  21.515625  (0.015625)
[311] : 39.656250,  39.656250  (0.000000)
[312] : 19.843750,  19.843750  (0.000000)
[313] : 9.031250,  8.953125  (-0.078125)
[314] : 6.718750,  6.718750  (0.000000)
[315] : 14.531250,  12.843750  (-1.687500)
[316] : 22.984375,  22.984375  (0.000000)
[317] : 34.140625,  34.140625  (0.000000)
[318] : 10.234375,  10.234375  (0.000000)
[319] : 24.250000,  24.250000  (0.000000)
[320] : 129.437500,  128.843750  (-0.593750)
[321] : 6.843750,  6.843750  (0.000000)
[322] : 235.484375,  218.312500  (-17.171875)
[323] : 33.812500,  33.812500  (0.000000)
[324] : 26.078125,  26.078125  (0.000000)
[325] : 16.937500,  16.937500  (0.000000)
[326] : 237.296875,  232.609375  (-4.687500)
[327] : 179.156250,  155.218750  (-23.937500)
[328] : 29.296875,  29.296875  (0.000000)
[329] : 12.734375,  11.984375  (-0.750000)
[330] : 10.281250,  10.281250  (0.000000)
[331] : 32.328125,  32.250000  (-0.078125)
[332] : 37.593750,  37.593750  (0.000000)
[333] : 7.515625,  6.390625  (-1.125000)
[334] : 17.421875,  16.640625  (-0.781250)
[335] : 39.968750,  36.328125  (-3.640625)
[336] : 53.406250,  52.875000  (-0.531250)
[337] : 13.593750,  13.375000  (-0.218750)
[338] : 38.203125,  38.000000  (-0.203125)
[339] : 42.031250,  32.687500  (-9.343750)
[340] : 10.031250,  9.437500  (-0.593750)
[341] : 19.421875,  19.421875  (0.000000)
[342] : 11.078125,  11.078125  (0.000000)
[343] : 16.687500,  16.687500  (0.000000)
[344] : 29.031250,  29.031250  (0.000000)
[345] : 32.375000,  32.296875  (-0.078125)
[346] : 46.531250,  46.531250  (0.000000)
[347] : 16.875000,  16.875000  (0.000000)
[348] : 40.140625,  40.140625  (0.000000)
[349] : 19.890625,  19.890625  (0.000000)
[350] : 33.343750,  33.343750  (0.000000)
[351] : 7.859375,  7.859375  (0.000000)
[352] : 101.812500,  80.781250  (-21.031250)
[353] : 16.093750,  11.312500  (-4.781250)
[354] : 35.140625,  35.140625  (0.000000)
[355] : 413.359375,  413.359375  (0.000000)
[356] : 305.906250,  337.437500  (31.531250)
[357] : 485.156250,  484.656250  (-0.500000)
[358] : 365.578125,  387.125000  (21.546875)
[359] : 388.062500,  391.093750  (3.031250)
[360] : 39.796875,  39.796875  (0.000000)
[361] : 14.156250,  14.078125  (-0.078125)
[362] : 12.828125,  12.828125  (0.000000)
[363] : 50.343750,  50.343750  (0.000000)
[364] : 9.953125,  9.812500  (-0.140625)
[365] : 28.578125,  28.500000  (-0.078125)
[366] : 20.890625,  20.890625  (0.000000)
[367] : 10.640625,  10.046875  (-0.593750)
[368] : 23.500000,  23.593750  (0.093750)
[369] : 20.734375,  20.609375  (-0.125000)
[370] : 19.500000,  19.343750  (-0.156250)
[371] : 21.500000,  21.500000  (0.000000)
[372] : 27.500000,  27.500000  (0.000000)
[373] : 6.609375,  6.609375  (0.000000)
[374] : 28.703125,  28.703125  (0.000000)
[375] : 7.562500,  7.562500  (0.000000)
[376] : 68.062500,  84.078125  (16.015625)
[377] : 14.218750,  14.078125  (-0.140625)
[378] : 33.171875,  33.171875  (0.000000)
[379] : 30.187500,  30.187500  (0.000000)
[380] : 21.515625,  21.515625  (0.000000)
[381] : 10.187500,  8.562500  (-1.625000)
[382] : 8.937500,  8.953125  (0.015625)
[383] : 6.734375,  3.984375  (-2.750000)
