   DCT only, opt basis No.6 (MSE)
[424] : 9.359375,  38.328125
[425] : 20.546875,  94.343750
[426] : 17.187500,  17.937500
[427] : 30.453125,  30.656250
[428] : 15.078125,  25.234375
[429] : 31.156250,  37.796875
[430] : 11.546875,  12.093750
[431] : 40.578125,  40.484375
[432] : 37.640625,  37.640625
[433] : 13.250000,  32.750000
[434] : 17.000000,  17.218750
[435] : 22.531250,  51.328125
[436] : 17.062500,  21.109375
[437] : 48.234375,  82.921875
[438] : 50.890625,  76.781250
[439] : 44.234375,  44.140625
[440] : 43.312500,  43.843750
[441] : 29.812500,  57.265625
[442] : 9.156250,  9.156250
[443] : 7.218750,  6.750000
[444] : 7.031250,  7.109375
[445] : 7.796875,  8.546875
[446] : 5.562500,  5.562500
[447] : 7.406250,  7.000000
[448] : 47.937500,  54.562500
[449] : 25.312500,  29.593750
[450] : 34.578125,  37.578125
[451] : 14.875000,  21.984375
[452] : 33.656250,  33.656250
[453] : 23.546875,  104.109375
[454] : 10.656250,  10.656250
[455] : 21.015625,  29.296875
[456] : 46.453125,  71.156250
[457] : 48.203125,  75.890625
[458] : 15.296875,  15.796875
[459] : 6.562500,  6.562500
[460] : 12.125000,  14.187500
[461] : 6.875000,  7.062500
[462] : 22.750000,  216.656250
[463] : 59.000000,  118.453125
[464] : 51.140625,  97.515625
[465] : 49.656250,  52.343750
[466] : 46.828125,  46.875000
[467] : 48.203125,  65.984375
[468] : 44.328125,  43.937500
[469] : 28.890625,  30.859375
[470] : 21.187500,  21.203125
[471] : 17.937500,  198.437500
[472] : 19.031250,  19.031250
[473] : 23.328125,  24.984375
[474] : 13.609375,  13.968750
[475] : 23.843750,  27.687500
[476] : 17.812500,  18.484375
[477] : 10.750000,  10.484375
[478] : 11.828125,  11.718750
[479] : 8.750000,  8.750000
[480] : 40.812500,  41.859375
[481] : 29.312500,  29.921875
[482] : 11.500000,  11.406250
[483] : 41.546875,  43.250000
[484] : 8.359375,  8.281250
[485] : 20.421875,  20.484375
[486] : 10.812500,  10.671875
[487] : 14.765625,  14.781250
[488] : 22.890625,  22.796875
[489] : 20.093750,  237.125000
[490] : 16.359375,  16.359375
[491] : 8.859375,  8.890625
[492] : 15.390625,  15.515625
[493] : 7.484375,  7.437500
[494] : 5.140625,  5.343750
[495] : 12.890625,  12.765625
[496] : 14.468750,  14.328125
[497] : 10.312500,  10.796875
[498] : 10.890625,  35.703125
[499] : 11.500000,  11.500000
[500] : 10.578125,  11.718750
[501] : 10.046875,  10.046875
[502] : 12.218750,  11.656250
[503] : 9.437500,  13.031250
[504] : 6.359375,  14.093750
[505] : 12.859375,  12.859375
[506] : 34.812500,  34.953125
[507] : 22.937500,  22.906250
[508] : 15.671875,  15.875000
[509] : 15.609375,  16.296875
[510] : 13.281250,  13.359375
[511] : 16.156250,  17.171875
[512] : 31.140625,  31.281250
[513] : 45.093750,  126.921875
[514] : 22.187500,  22.265625
[515] : 32.109375,  34.421875
[516] : 5.265625,  4.718750
[517] : 7.187500,  7.234375
[518] : 25.781250,  25.937500
[519] : 20.640625,  25.750000
[520] : 27.921875,  27.953125
[521] : 15.421875,  15.671875
[522] : 20.406250,  20.453125
[523] : 13.265625,  12.859375
[524] : 30.953125,  36.343750
[525] : 22.875000,  22.390625
[526] : 24.015625,  25.265625
[527] : 14.265625,  13.890625
