
量子化なし

[445] DCT : 189.421875, ICA : 189.421875
[446] DCT : 163.343750, ICA : 163.343750
[447] DCT : 155.000000, ICA : 155.000000
[448] DCT : 165.156250, ICA : 165.156250
[449] DCT : 207.468750, ICA : 207.468750
[450] DCT : 153.359375, ICA : 153.359375
[451] DCT : 81.984375, ICA : 81.984375
[452] DCT : 42.171875, ICA : 42.171875
[453] DCT : 110.984375, ICA : 110.984375
[454] DCT : 212.921875, ICA : 212.921875
[455] DCT : 210.218750, ICA : 210.218750
[456] DCT : 162.265625, ICA : 162.265625
[457] DCT : 162.921875, ICA : 162.921875
[458] DCT : 210.015625, ICA : 210.015625
[459] DCT : 214.359375, ICA : 214.359375
[460] DCT : 211.953125, ICA : 211.953125
[461] DCT : 215.937500, ICA : 215.937500
[462] DCT : 210.578125, ICA : 210.578125
[463] DCT : 189.484375, ICA : 189.484375
[464] DCT : 188.312500, ICA : 188.312500
[465] DCT : 184.421875, ICA : 184.421875
[466] DCT : 182.312500, ICA : 182.312500
[467] DCT : 176.015625, ICA : 176.015625
[468] DCT : 194.625000, ICA : 194.625000
[469] DCT : 197.671875, ICA : 197.671875
[470] DCT : 179.578125, ICA : 179.578125
[471] DCT : 162.218750, ICA : 162.218750
[472] DCT : 155.406250, ICA : 155.406250
[473] DCT : 142.578125, ICA : 142.578125
[474] DCT : 161.015625, ICA : 161.015625
[475] DCT : 180.906250, ICA : 180.906250
[476] DCT : 194.484375, ICA : 194.484375
[477] DCT : 190.531250, ICA : 190.531250
[478] DCT : 171.484375, ICA : 171.484375
[479] DCT : 164.750000, ICA : 164.750000
[480] DCT : 158.343750, ICA : 158.343750
[481] DCT : 177.015625, ICA : 177.015625
[482] DCT : 47.718750, ICA : 47.718750
[483] DCT : 77.531250, ICA : 77.531250
[484] DCT : 125.187500, ICA : 125.187500
[485] DCT : 153.328125, ICA : 153.328125
[486] DCT : 206.062500, ICA : 206.062500
[487] DCT : 189.203125, ICA : 189.203125
[488] DCT : 168.875000, ICA : 168.875000
[489] DCT : 167.656250, ICA : 167.656250
[490] DCT : 161.500000, ICA : 161.500000
[491] DCT : 138.046875, ICA : 138.046875
[492] DCT : 127.843750, ICA : 127.843750
[493] DCT : 134.250000, ICA : 134.250000
[494] DCT : 137.640625, ICA : 137.640625
[495] DCT : 134.437500, ICA : 134.437500
[496] DCT : 141.062500, ICA : 141.062500
[497] DCT : 151.218750, ICA : 151.218750
[498] DCT : 160.578125, ICA : 160.578125
[499] DCT : 160.109375, ICA : 160.109375
[500] DCT : 156.390625, ICA : 156.390625
[501] DCT : 150.343750, ICA : 150.343750
[502] DCT : 160.000000, ICA : 160.000000
[503] DCT : 192.765625, ICA : 192.765625
[504] DCT : 197.515625, ICA : 197.515625
[505] DCT : 195.203125, ICA : 195.203125
[506] DCT : 166.140625, ICA : 166.140625
[507] DCT : 202.921875, ICA : 202.921875
[508] DCT : 211.984375, ICA : 211.984375
[509] DCT : 213.265625, ICA : 213.265625
[510] DCT : 207.796875, ICA : 207.796875
[511] DCT : 194.203125, ICA : 194.203125
[512] DCT : 141.312500, ICA : 141.312500
[513] DCT : 129.875000, ICA : 129.875000
[514] DCT : 81.281250, ICA : 81.281250
[515] DCT : 113.859375, ICA : 113.859375
[516] DCT : 216.265625, ICA : 216.265625
[517] DCT : 218.000000, ICA : 218.000000
[518] DCT : 203.312500, ICA : 203.312500
[519] DCT : 153.484375, ICA : 153.484375
[520] DCT : 126.921875, ICA : 126.921875
[521] DCT : 140.937500, ICA : 140.937500
[522] DCT : 141.796875, ICA : 141.796875
[523] DCT : 131.750000, ICA : 131.750000
[524] DCT : 132.031250, ICA : 132.031250
[525] DCT : 84.328125, ICA : 84.328125
[526] DCT : 88.453125, ICA : 88.453125
[527] DCT : 94.859375, ICA : 94.859375
[528] DCT : 126.000000, ICA : 126.000000
[529] DCT : 140.718750, ICA : 140.718750
[530] DCT : 141.140625, ICA : 141.140625
[531] DCT : 124.062500, ICA : 124.062500
[532] DCT : 113.500000, ICA : 113.500000
[533] DCT : 118.000000, ICA : 118.000000
[534] DCT : 140.562500, ICA : 140.562500
[535] DCT : 159.453125, ICA : 159.453125
[536] DCT : 202.453125, ICA : 202.453125
[537] DCT : 216.453125, ICA : 216.453125
[538] DCT : 218.656250, ICA : 218.656250
[539] DCT : 222.015625, ICA : 222.015625
[540] DCT : 222.515625, ICA : 222.515625
[541] DCT : 222.218750, ICA : 222.218750
[542] DCT : 222.656250, ICA : 222.656250
[543] DCT : 221.250000, ICA : 221.250000
[544] DCT : 159.453125, ICA : 159.453125
[545] DCT : 105.312500, ICA : 105.312500
[546] DCT : 72.656250, ICA : 72.656250
[547] DCT : 157.468750, ICA : 157.468750
[548] DCT : 187.234375, ICA : 187.234375
[549] DCT : 123.062500, ICA : 123.062500
[550] DCT : 129.406250, ICA : 129.406250
[551] DCT : 189.953125, ICA : 189.953125
[552] DCT : 57.937500, ICA : 57.937500
[553] DCT : 25.343750, ICA : 25.343750
[554] DCT : 103.843750, ICA : 103.843750
[555] DCT : 188.687500, ICA : 188.687500
[556] DCT : 164.593750, ICA : 164.593750
[557] DCT : 172.593750, ICA : 172.593750
[558] DCT : 169.265625, ICA : 169.265625
[559] DCT : 180.640625, ICA : 180.640625
[560] DCT : 175.921875, ICA : 175.921875
[561] DCT : 173.703125, ICA : 173.703125
[562] DCT : 179.703125, ICA : 179.703125
[563] DCT : 204.140625, ICA : 204.140625
[564] DCT : 205.640625, ICA : 205.640625
[565] DCT : 198.609375, ICA : 198.609375
[566] DCT : 214.500000, ICA : 214.500000
[567] DCT : 213.906250, ICA : 213.906250
[568] DCT : 213.062500, ICA : 213.062500
[569] DCT : 216.687500, ICA : 216.687500
[570] DCT : 220.015625, ICA : 220.015625
[571] DCT : 221.421875, ICA : 221.421875
[572] DCT : 221.796875, ICA : 221.796875
[573] DCT : 222.062500, ICA : 222.062500
[574] DCT : 222.234375, ICA : 222.234375
[575] DCT : 222.015625, ICA : 222.015625
[576] DCT : 126.421875, ICA : 126.421875
[577] DCT : 98.421875, ICA : 98.421875
[578] DCT : 86.250000, ICA : 86.250000
[579] DCT : 163.796875, ICA : 163.796875
[580] DCT : 109.250000, ICA : 109.250000
[581] DCT : 114.859375, ICA : 114.859375
[582] DCT : 126.453125, ICA : 126.453125
[583] DCT : 159.687500, ICA : 159.687500
[584] DCT : 183.531250, ICA : 183.531250
[585] DCT : 163.328125, ICA : 163.328125
[586] DCT : 169.531250, ICA : 169.531250
[587] DCT : 166.203125, ICA : 166.203125
[588] DCT : 159.718750, ICA : 159.718750
[589] DCT : 191.859375, ICA : 191.859375
[590] DCT : 181.093750, ICA : 181.093750
[591] DCT : 198.953125, ICA : 198.953125
[592] DCT : 142.390625, ICA : 142.390625
[593] DCT : 150.296875, ICA : 150.296875
[594] DCT : 136.359375, ICA : 136.359375
[595] DCT : 154.468750, ICA : 154.468750
[596] DCT : 210.343750, ICA : 210.343750
[597] DCT : 203.750000, ICA : 203.750000
[598] DCT : 215.125000, ICA : 215.125000
[599] DCT : 215.687500, ICA : 215.687500
[600] DCT : 217.578125, ICA : 217.578125
[601] DCT : 197.796875, ICA : 197.796875
[602] DCT : 215.546875, ICA : 215.546875
[603] DCT : 220.515625, ICA : 220.515625
[604] DCT : 221.046875, ICA : 221.046875
[605] DCT : 221.750000, ICA : 221.750000
[606] DCT : 222.015625, ICA : 222.015625
