
basis : 14, 39, 59
 [176]  dct:15.828125  a:15.828125  b:15.828125  c:14.578125   (3)    [14]:0.197399, [39]:-0.140834, [59]:-0.236842
 [178]  dct:12.906250  a:13.046875  b:12.296875  c:12.906250   (2)    [14]:-0.220778, [39]:-0.353952, [59]:-0.092250
 [179]  dct:22.593750  a:21.406250  b:22.546875  c:22.593750   (1)    [14]:-0.319508, [39]:0.225851, [59]:-0.083440
 [180]  dct:20.421875  a:20.421875  b:20.421875  c:20.421875   (0)    [14]:0.269228, [39]:0.143013, [59]:-0.066215
 [181]  dct:15.390625  a:15.390625  b:15.250000  c:15.390625   (2)    [14]:-0.047950, [39]:0.376965, [59]:0.061847
 [183]  dct:7.250000  a:7.250000  b:7.250000  c:7.109375   (3)    [14]:-0.092957, [39]:0.200028, [59]:0.224121
 [185]  dct:6.781250  a:6.781250  b:6.781250  c:6.781250   (0)    [14]:0.056987, [39]:-0.071744, [59]:0.100545
 [186]  dct:9.250000  a:9.031250  b:8.734375  c:8.687500   (3)    [14]:-0.352958, [39]:0.346575, [59]:0.261818
 [188]  dct:5.953125  a:5.953125  b:5.953125  c:5.953125   (0)    [14]:0.308481, [39]:-0.066927, [59]:0.145939
 [189]  dct:6.093750  a:6.093750  b:6.093750  c:6.093750   (0)    [14]:-0.356038, [39]:-0.205150, [59]:-0.079020
 [192]  dct:33.078125  a:33.078125  b:29.718750  c:32.750000   (2)    [14]:0.132888, [39]:-0.737955, [59]:-0.484909
 [197]  dct:6.343750  a:6.343750  b:6.343750  c:6.343750   (0)    [14]:0.029846, [39]:0.088258, [59]:0.099049
 [201]  dct:10.125000  a:10.125000  b:10.125000  c:10.125000   (0)    [14]:0.142342, [39]:0.195535, [59]:0.014045
 [203]  dct:12.750000  a:12.750000  b:12.750000  c:12.750000   (0)    [14]:0.125997, [39]:-0.142263, [59]:0.035098
 [205]  dct:13.500000  a:13.500000  b:13.500000  c:11.625000   (3)    [14]:0.024092, [39]:0.129779, [59]:-0.252767
 [206]  dct:10.203125  a:10.375000  b:10.203125  c:10.375000   (0)    [14]:-0.406183, [39]:-0.132708, [59]:0.203500
 [208]  dct:13.312500  a:13.312500  b:13.312500  c:13.312500   (0)    [14]:0.391566, [39]:0.007537, [59]:0.123370
 [209]  dct:17.125000  a:17.125000  b:16.359375  c:16.109375   (3)    [14]:0.136680, [39]:0.532035, [59]:0.603530
 [211]  dct:8.968750  a:8.968750  b:8.796875  c:8.968750   (2)    [14]:0.200212, [39]:0.279607, [59]:0.047454
 [212]  dct:13.312500  a:13.031250  b:12.765625  c:12.328125   (3)    [14]:-0.285985, [39]:0.380713, [59]:-0.141891
